"strains","samplesize","R","t0","n","G","avgLS","stdLS","CV","GompGFlex","GompRFlex","GompLogLikFlex","GompAICFlex","WeibShapeFlex","WeibRateFlex","WeibLogLikFlex","WeibAICFlex"
"101S",85,0.00196382610822162,36.9682663178269,7.28602697021496,0.170038457204678,31.3411764705882,7.51277157210825,0.239709303164115,0.134072919665356,0.0012654561918184,-295,594,4.77813893069515,34.1556102658814,-291,586
"BY4716",30,0.00421450569111122,68.8830684831453,7.89767471854076,0.10013599670329,31.7666666666667,12.0821422322178,0.380340259146415,0.0724696288751688,0.0052818166103144,-118.2,240,2.90973061990541,35.653638324293,-116.4,237
"BY4741",91,0.00456163985929207,69.1777985703887,7.92158911184145,0.100055064701122,30.4065934065934,12.2138155126598,0.401683126726434,0.0721598542452008,0.00592272124581991,-358.1,720,2.67262744677259,34.0889169349399,-357,718
"BY4742",91,0.00413154556431839,3.44673246978641,2.53399338544417,0.445057282191453,20.6703296703297,9.44699240211748,0.457031530352308,0.0653684076863291,0.0168136838212924,-339.8,684,2.28630378286368,23.2872723509058,-330,664
"BY4743",90,0.00317262514267774,63.4166165620785,8.01337632777173,0.11059209254575,33.4,10.7909658427883,0.323082809664322,0.0786422059060135,0.00402991601162759,-349.9,704,3.34205898154897,37.1808094044819,-341.3,687
"JSBY4741",30,0.00423244239894335,51.4817197238862,6.0215186957936,0.097539839825198,35.4,11.3520467545391,0.320679286851387,0.0971188519561086,0.00192101578258489,-114.5,233,3.66105616371833,39.350574842789,-114.5,233
"M1-2",54,0.00259777770755586,40.442749455616,7.58145843615762,0.162735188006455,27.8333333333333,9.2016200378387,0.330597127107977,0.123103438611681,0.00244942068956297,-193.6,391,3.53853308764084,30.9235560651272,-195.6,395
"M13",70,0.00286344614591745,40.5680136569642,7.65079230077057,0.163941778293817,26.5428571428571,9.14248834659918,0.344442510367031,0.122848970223591,0.00292611329765408,-250.1,504,3.11405568840269,29.2654842789166,-259.1,522
"M14",60,0.00415653324388167,54.6506266291953,6.03119190477101,0.0920610103687862,36.55,12.8041637825159,0.350319118536686,0.091485725276518,0.00195105023297774,-233.7,471,3.36140681340092,40.8015534220578,-236.8,478
"M2-8",105,0.00343876658709619,42.7529064815854,8.02690779944906,0.164360937717199,24.8095238095238,8.13361405868742,0.327842409275309,0.116083904898849,0.00436128834132949,-373.3,751,3.37137491121426,27.614166472387,-368.5,741
"M22",60,0.00466907452270471,46.3826745508967,6.03581161597534,0.108570962427995,31.8333333333333,10.2711817791938,0.322654925000853,0.107789932468041,0.00214545283233626,-222.9,450,3.59639169220403,35.3711840645674,-223.9,452
"M32",60,0.00185685409189997,35.3128148857779,7.69055973165939,0.189465488755302,27.9666666666667,6.88886762647833,0.246324229790644,0.140432772012273,0.00173845779150233,-205.6,415,4.41910445444934,30.6282787515621,-201.4,407
"M34",58,0.00223812463302466,31.6434346243416,7.08563234716984,0.192318957136482,27.0172413793103,8.2067395908877,0.303759346695269,0.156927974341132,0.00128964684404313,-198,400,3.98574465095602,29.7706192317375,-203.7,411
"M5",166,0.00334878026191111,74.5836379541844,7.89854119419256,0.0924940292994319,36.6265060240964,12.9387469238937,0.353261840356309,0.0668490189141179,0.00414725011919435,-670.1,1344,3.09839192184146,40.9870898565065,-658.3,1321
"M8",60,0.00186366192607914,31.4624795663918,6.02102153227656,0.159587597718777,34.9333333333333,6.90582330212886,0.19768578154949,0.158888314159325,0.000365314130228437,-201.9,408,5.87221312622136,37.7000765243253,-200.1,404
"RM112N",59,0.00270247529081964,55.9348368359128,6.02339325897839,0.0898079540969204,44.0677966101695,13.0064498678469,0.295146362385758,0.0893857406029639,0.00103633039056891,-232,468,4.03846544084453,48.6389468859495,-233.7,471
"S288c",41,0.00499512338316646,57.4211663071739,7.94848841904271,0.121009182953057,26.2682926829268,10.2543268678249,0.390368989397233,0.0868688221256847,0.00645120465200862,-154.2,312,2.79296389910715,29.4294236406124,-153.3,311
"SGU57",58,0.00633477645978089,55.6996096824925,7.71436097338836,0.120545925037224,23.8620689655172,10.5388975019479,0.441658999359089,0.0895676297635961,0.00767486337366949,-216.5,437,2.45570287891724,26.8591022236434,-218.2,440
"sir2D.4741a",50,0.0074950622811081,24.1823159548331,8.28424418057035,0.301221942272841,12.48,4.37170867449947,0.350297169431047,0.203626866737196,0.0112664617620548,-147.2,298,3.14627091109266,13.9655911582529,-143.6,291
"sir2D.4742",68,0.00734338980739143,25.0094073718952,8.39669496080169,0.295756506774082,12.7058823529412,4.39829961557198,0.346162469744091,0.196949193609995,0.0115701467178156,-201.1,406,3.12214093372283,14.1393509644689,-197.8,400
"sir2DSIR2.4742",70,0.0120754348987972,43.1237886141792,7.75649473586507,0.156676742767529,15.7857142857143,6.86071120060113,0.434615189178352,0.115489588349128,0.015100868872321,-235.9,476,2.48317816079445,17.821844623001,-231.4,467
"SK1",71,0.00955696860565793,62.4887043712868,7.58283595067825,0.105344414113073,21.830985915493,10.6824099949309,0.489323296541994,0.0798816370579925,0.0113561182170508,-265.1,534,2.06935997142015,24.4081065647544,-270.3,545
"W303",70,0.002670212330203,25.5285359758847,8.24823472557476,0.283926768555069,18.6571428571429,4.65905916448124,0.249719863333604,0.191766602969431,0.00353265230473076,-214.8,434,4.25230179407431,20.4064039461098,-208.6,421
"YPS128",69,0.00204575116644611,41.9663420529814,6.96017960783483,0.142022852511431,35,9.71959815194507,0.277702804341288,0.118660143549551,0.00110415456408881,-252.2,508,4.29412156861966,38.5299022734753,-253,510
"YPS163",130,0.00182070116670381,36.9950592945087,6.82033095962258,0.157327250465754,34.4307692307692,8.59144920276533,0.249528238686214,0.133872764857666,0.000788945492436455,-459.6,923,4.82565517316649,37.6267061349447,-460.2,924
