"I.mle"	"I.0"	"G.mle"	"G.0"	"lh.max"
0.000571320330371984	0.00119025068827497	0.141503324932774	0.119412088550865	-106.261060715192
0.000434041087518545	0.000203775158459411	0.16	0.195882067796674	-100.497612535862
0.000256824084529456	0.000558313227237947	0.167208800169832	0.148630044595406	-100.400789302796
0.00127737460092736	0.00283861022428303	0.124588852796326	0.101291750240916	-107.643547318109
0.000339339030783060	0.000616980055969199	0.157223587552247	0.143583184979221	-101.993569255934
0.000354079894664147	0.000907897165805505	0.158043835767893	0.133370325542526	-102.115864552813
0.00111340710229436	0.00206186500424882	0.130210763429414	0.115742900826146	-106.557737656691
0.000708142277570058	0.00124235487292993	0.138294664652945	0.122928590802618	-106.547200267332
0.000287961417557649	0.00143980708778825	0.163097092945584	0.116915478814039	-101.03198454072
0.000524865890695253	0.000739247733373596	0.157560633548470	0.154471209361245	-100.546247994709
0.000268093830195788	0.000724577919448077	0.164528654427068	0.138842746351956	-100.879358031271
0.000851173109534535	0.000582995280503106	0.144308329125602	0.165871642673106	-103.508622524525
0.000236663734186816	0.000563485081397181	0.172736586507635	0.151523321497925	-99.0273744784273
0.000810706976518184	0.00155905187791958	0.141557682608920	0.124173405797299	-104.831706917443
0.000325350110147822	0.000602500203977448	0.162073910951345	0.148012704065155	-100.764691128881
0.000433144420954500	0.000817253624442452	0.155038741664857	0.139674542040412	-103.460433054832
0.000430042501031736	0.00060569366342498	0.158911167085666	0.151343968653015	-102.441740144974
9.66480929868752e-05	0.000146436504525568	0.205	0.201372771703999	-93.852701976503
0.000185646017250998	0.000562563688639389	0.170579624560437	0.140394752724639	-100.789651174249
0.000325320835186986	0.000856107461018385	0.155394204297674	0.12789646444253	-103.592362949407
0.000498537621094737	0.00110786138021053	0.149121232227509	0.127454044638896	-103.539478424213
0.000459259537496272	0.000211640339860033	0.1625	0.196589355187573	-100.226511328701
0.000208646629461433	0.000409111038159672	0.176399349057570	0.161095295942987	-99.92069300667
0.000494747807372706	0.000626263047307222	0.151152982224560	0.150400977337871	-102.920927607624
0.000379688949174972	0.00115057257325749	0.149487288827566	0.117244932413777	-105.036075057645
0.000356202782612326	0.000487949017277159	0.165007363500315	0.159427404348130	-100.936228421755
0.001015711695135	0.00116748470705172	0.134376921853579	0.139975960264145	-105.085696193538
0.000443518952485174	0.000964171635837334	0.152589831990177	0.133850729815944	-102.842145726544
0.000470662921094801	0.00117665730273700	0.148896502172850	0.124080418477375	-103.949546105688
0.000183730089764984	0.000353327095701893	0.178655079696911	0.165421370089732	-97.9255257864605
